Numfront:	
61	
	
AUGMECON-II:	4
4096.59921	1093.60471
4191.38348	1047.84479
4219.09429	1031.90346
4285.65701	1029.47509
	
NSGA-II_1:	3
4219.09429	1031.90346
4096.59921	1093.60471
4191.38348	1047.84479
	
NSGA-II_2:	8
4933.57512	1051.27088
4431.83474	1172.16109
4650.82772	1055.76707
4445.51677	1151.87099
4459.55122	1091.73180
4487.26203	1075.79047
4597.03231	1068.58083
4625.18219	1063.21933
	
NSGA-II_3:	7
4933.57512	1051.27088
4431.83474	1172.16109
4625.18219	1063.21933
4445.51677	1151.87099
4459.55122	1091.73180
4487.26203	1075.79047
4445.51677	1151.87099
	
NSGA-II_4:	3
4219.09429	1031.90346
4096.59921	1093.60471
4191.38348	1047.84479
	
NSGA-II_5:	5
4933.57512	1051.27088
4551.45086	1136.04699
4625.18219	1063.21933
4569.32150	1084.52216
4597.03231	1068.58083
	
NSGA-II_6:	4
4828.38842	1048.22277
4706.52093	1148.21281
4800.67761	1064.16410
4730.35746	1144.33854
	
NSGA-II_7:	6
4650.82772	1055.76707
4431.83474	1172.16109
4623.11691	1071.70840
4487.26203	1075.79047
4445.51677	1151.87099
4459.55122	1091.73180
	
NSGA-II_8:	9
4909.52254	1059.70306
4705.32725	1107.26218
4872.61709	1080.02721
4775.67852	1082.60786
4881.81173	1075.64439
4747.96772	1098.54919
4767.78099	1083.57580
4740.07018	1099.51713
4729.79651	1105.25585
	
NSGA-II_9:	4
4487.26203	1075.79047
4431.83474	1172.16109
4459.55122	1091.73180
4445.51677	1151.87099
	
NSGA-II_10:	7
5458.47160	1097.55467
5067.73864	1179.50623
5259.48887	1113.09440
5452.90206	1109.05157
5180.98035	1136.37327
5143.54705	1175.23021
5146.24716	1156.22736
	
NSGA-II_11:	11
5722.24760	1087.72853
4876.35041	1192.24844
4911.72329	1150.02598
5060.68777	1141.17742
5530.42133	1100.31987
5313.35622	1113.28764
5088.39858	1125.23609
5251.94093	1121.97598
5609.90514	1099.67698
5642.12091	1088.37141
5290.65360	1118.62639
	
NSGA-II_12:	9
5286.39680	1073.24911
4905.71499	1195.81995
5048.79910	1081.92748
4930.21516	1172.54108
5025.07410	1100.38889
4944.77010	1154.43394
4968.49510	1135.97253
5007.49778	1126.86107
5010.51916	1118.49602
	
NSGA-II_13:	7
4650.82772	1055.76707
4431.83474	1172.16109
4623.11691	1071.70840
4459.55122	1091.73180
4487.26203	1075.79047
4445.51677	1151.87099
4445.51677	1151.87099
	
NSGA-II_14:	3
4219.09429	1031.90346
4096.59921	1093.60471
4191.38348	1047.84479
	
NSGA-II_15:	12
5562.64630	1064.92834
5057.67193	1198.82911
5129.05749	1184.90685
5135.71239	1141.50937
5427.50365	1076.87680
5353.62855	1095.63529
5388.91648	1089.44793
5196.09608	1114.99537
5163.42320	1125.56804
5090.34482	1188.25644
5287.60242	1110.65559
5234.80875	1111.64578
	
NSGA-II_16:	3
4219.09429	1031.90346
4096.59921	1093.60471
4191.38348	1047.84479
	
NSGA-II_17:	6
4650.82772	1055.76707
4431.83474	1172.16109
4487.26203	1075.79047
4623.11691	1071.70840
4445.51677	1151.87099
4459.55122	1091.73180
	
NSGA-II_18:	8
5217.80278	1042.97451
4431.83474	1172.16109
4650.82772	1055.76707
4445.51677	1151.87099
4459.55122	1091.73180
4623.11691	1071.70840
4445.51677	1151.87099
4487.26203	1075.79047
	
NSGA-II_19:	7
4650.82772	1055.76707
4431.83474	1172.16109
4487.26203	1075.79047
4623.11691	1071.70840
4445.51677	1151.87099
4459.55122	1091.73180
4445.51677	1151.87099
	
NSGA-II_20:	4
4828.38842	1048.22277
4706.52093	1148.21281
4730.35746	1144.33854
4800.67761	1064.16410
	
NSGA-II_21:	9
4909.52254	1059.70306
4705.32725	1107.26218
4775.67852	1082.60786
4872.61709	1080.02721
4747.96772	1098.54919
4881.81173	1075.64439
4767.78099	1083.57580
4740.07018	1099.51713
4729.79651	1105.25585
	
NSGA-II_22:	10
5437.75747	1073.32473
4967.01014	1185.13428
5391.26972	1091.69443
5342.85828	1152.25373
5038.39569	1171.21202
5190.43067	1168.78365
5252.56656	1154.68209
4999.68302	1174.56161
5418.98053	1075.75310
5410.04667	1089.26606
	
NSGA-II_23:	9
4933.57512	1051.27088
4431.83474	1172.16109
4625.18219	1063.21933
4459.55122	1091.73180
4445.51677	1151.87099
4487.26203	1075.79047
4597.03231	1068.58083
4445.51677	1151.87099
4597.03231	1068.58083
	
NSGA-II_24:	6
4933.57512	1051.27088
4431.83474	1172.16109
4625.18219	1063.21933
4445.51677	1151.87099
4459.55122	1091.73180
4487.26203	1075.79047
	
NSGA-II_25:	6
4650.82772	1055.76707
4431.83474	1172.16109
4487.26203	1075.79047
4623.11691	1071.70840
4445.51677	1151.87099
4459.55122	1091.73180
	
NSGA-II_26:	6
4650.82772	1055.76707
4431.83474	1172.16109
4623.11691	1071.70840
4459.55122	1091.73180
4487.26203	1075.79047
4445.51677	1151.87099
	
NSGA-II_27:	9
4933.57512	1051.27088
4431.83474	1172.16109
4625.18219	1063.21933
4445.51677	1151.87099
4459.55122	1091.73180
4597.03231	1068.58083
4487.26203	1075.79047
4445.51677	1151.87099
4597.03231	1068.58083
	
NSGA-II_28:	6
4650.82772	1055.76707
4431.83474	1172.16109
4623.11691	1071.70840
4459.55122	1091.73180
4487.26203	1075.79047
4445.51677	1151.87099
	
NSGA-II_29:	6
4650.82772	1055.76707
4431.83474	1172.16109
4487.26203	1075.79047
4623.11691	1071.70840
4445.51677	1151.87099
4459.55122	1091.73180
	
NSGA-II_30:	4
4828.38842	1048.22277
4706.52093	1148.21281
4730.35746	1144.33854
4800.67761	1064.16410
	
Math-AUGMECON-II_1:	3
4219.09429	1031.90346
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_2:	3
4285.65701	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_3:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_4:	3
4219.09429	1031.90346
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_5:	3
4285.65701	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_6:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_7:	3
4285.65701	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_8:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_9:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_10:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_11:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_12:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_13:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_14:	3
4219.09429	1031.90346
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_15:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_16:	3
4219.09429	1031.90346
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_17:	3
4285.65701	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_18:	3
4285.65701	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_19:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_20:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_21:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_22:	2
4285.65701	1029.47509
4096.59921	1093.60471
	
Math-AUGMECON-II_23:	3
4285.65700	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_24:	3
4285.65701	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_25:	3
4285.65701	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_26:	3
4285.65701	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_27:	3
4285.65700	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_28:	3
4285.65701	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
Math-AUGMECON-II_29:	3
4285.65701	1029.47509
4191.38348	1047.84479
4096.59921	1093.60471
	
