Numfront:	
61	
	
AUGMECON-II:	15
8956.11492	2521.52665
8971.76961	2493.64519
8983.55501	2481.25417
8999.20970	2453.37270
9012.10228	2441.03152
9020.23608	2419.78086
9049.94429	2400.12610
9067.51328	2381.13111
9097.22149	2361.47635
9160.28682	2339.30762
9188.20556	2317.94568
9218.89262	2301.45209
9248.76480	2274.86320
9316.17600	2254.10325
9363.10265	2239.48989
	
NSGA-II_1:	49
11725.06456	2223.21057
10106.82607	2535.64242
10111.56987	2458.13014
11173.62527	2236.41716
11553.30258	2235.41455
10564.81814	2321.31072
10570.67290	2294.87363
10353.49485	2344.67625
10117.81946	2431.04122
10121.94554	2409.31622
10115.69596	2436.40514
11027.43055	2244.18840
11671.83453	2226.54908
11578.86984	2230.98181
11120.39524	2239.75566
10446.45953	2340.24351
10882.83263	2258.62113
10184.93351	2393.55688
10320.56313	2349.44539
10799.80032	2259.88758
10593.93243	2283.88343
10571.06773	2294.22179
10197.14158	2378.95488
11000.78457	2249.95331
10892.76500	2255.45485
10945.99504	2252.11634
10655.20240	2274.32032
10720.22366	2274.02972
10511.87903	2330.58043
10622.27068	2279.08946
10152.00179	2398.32603
10538.52501	2324.81552
10499.68957	2336.90501
10288.05505	2359.56643
10627.25898	2278.46245
10594.32726	2283.23160
10771.85690	2264.02972
10746.28963	2268.46245
11001.86329	2248.62113
10227.19783	2367.96468
10179.92729	2394.69692
10508.71141	2336.63594
10564.42332	2321.96255
10222.64067	2375.32577
10260.12955	2363.19554
10738.12036	2271.95964
11570.40836	2234.76762
10255.12333	2364.33558
11553.30258	2235.41455
	
NSGA-II_2:	67
11109.52123	2190.15429
9355.00052	2458.67492
10831.38694	2207.52404
10613.81100	2208.65295
10027.03019	2276.12781
10098.29813	2270.31601
10388.26179	2222.68419
10982.83495	2197.92553
10955.25121	2201.51727
9702.61546	2309.13871
10249.27042	2231.68649
10883.97202	2204.18553
10113.30249	2259.08495
9654.21839	2325.01921
9387.75503	2432.10985
9390.17105	2418.96541
9405.19670	2410.19647
9426.99262	2400.09504
10470.66083	2221.95606
9639.21403	2336.25027
9512.58012	2375.93875
9612.38646	2353.72987
9787.32758	2295.10746
9636.77672	2346.93259
9753.95617	2302.21903
9974.44510	2279.46631
11094.24259	2192.51497
9608.27971	2355.83732
10377.71139	2223.91525
9370.02618	2449.90598
9669.24405	2316.25027
10128.32815	2250.31601
9372.72937	2440.87879
9442.01828	2391.32609
9508.96520	2381.99427
9497.55446	2384.70770
10561.22591	2211.99145
9725.98793	2308.61095
9634.51941	2347.20182
10297.74876	2230.45543
10335.67670	2226.02270
9798.01632	2286.88892
9970.28631	2283.76713
9543.86856	2368.05857
9656.92674	2323.17058
10474.81962	2217.65525
9936.51716	2283.89905
9490.49662	2390.09504
10176.80649	2249.08495
9559.80137	2357.06838
10241.00488	2238.09475
10192.52653	2239.32581
10603.26060	2209.88401
11023.11494	2195.81808
10868.69338	2206.54621
9888.03882	2285.13011
9846.49466	2285.65786
10241.00488	2238.09475
10185.07203	2242.67668
11056.93614	2193.49280
10523.29797	2216.42419
11056.93614	2193.49280
10831.38694	2207.52404
9540.25364	2374.11408
9556.18645	2363.12389
9671.95240	2314.40163
10883.97202	2204.18553
	
NSGA-II_3:	76
11018.04645	2160.58138
9246.85876	2393.99571
10442.66080	2202.18979
10200.23911	2205.64409
9262.51345	2366.11424
9451.44321	2288.53894
9447.40000	2311.78676
10915.78032	2161.81243
9586.29801	2244.20262
10097.97298	2206.87514
9289.29906	2356.56092
9487.35851	2278.51218
10769.58560	2169.58367
9544.75971	2261.84194
9633.95152	2243.88724
9794.42169	2220.35794
10754.30696	2171.94435
10849.36715	2168.60585
9292.22165	2346.45949
9889.48188	2217.01944
9436.67267	2315.32975
9280.24732	2357.34530
9271.56519	2365.32987
10576.77818	2189.98581
9563.44775	2250.25813
10491.76536	2194.55047
9382.61354	2324.77445
10042.88254	2211.35564
9976.43468	2211.59650
9686.98585	2232.83343
9451.44321	2288.53894
9469.17708	2279.77000
9309.95552	2337.69055
9303.93869	2345.46929
9510.71539	2262.13068
9492.98152	2270.89962
9505.09238	2269.74324
10691.06026	2179.58367
9830.23995	2219.36775
9361.09005	2333.25781
9362.68789	2325.81800
9329.88117	2336.64699
9563.44775	2250.25813
9561.84991	2257.69794
10647.28195	2183.61492
10864.64579	2166.24517
10900.50168	2164.17311
10655.20437	2181.65573
10596.14742	2188.04765
10632.00331	2185.97560
9637.43254	2239.76988
10542.89989	2190.11773
10525.64365	2194.41855
9417.18083	2317.72874
9720.43690	2230.84619
9385.53814	2319.76249
10468.91510	2200.60598
10078.70080	2210.36545
9743.28716	2224.79068
9940.61641	2212.58670
9925.30015	2216.02924
9779.10543	2223.80048
10046.83845	2211.30788
10468.91510	2200.60598
9656.80178	2237.83172
10703.17243	2176.37709
9738.12038	2228.40069
9510.71539	2262.13068
10718.45107	2174.01641
10491.76536	2194.55047
10542.89989	2190.11773
9656.80178	2237.83172
10769.58560	2169.58367
10718.45107	2174.01641
10703.17243	2176.37709
9743.28716	2224.79068
	
NSGA-II_4:	67
10028.61372	2239.40590
9137.42932	2445.83444
9804.16830	2245.30961
9960.10505	2245.10509
9185.68819	2396.26435
9145.56004	2444.84424
9155.39947	2429.97657
9242.98943	2366.18270
9157.71981	2414.34347
9245.13258	2350.84521
9354.64893	2318.88407
9598.80462	2271.59844
9175.68995	2398.48560
9167.71805	2412.12222
9263.10273	2334.98735
9395.32504	2316.56532
9681.86465	2259.34086
9303.28642	2320.99152
9547.44211	2273.70589
9224.84210	2382.33618
9254.17377	2348.76825
9516.29960	2285.62475
9474.57763	2301.30795
9733.73812	2257.03382
9750.93826	2248.64812
9975.38369	2242.74441
9272.14392	2332.91038
9301.41890	2322.22258
9238.51909	2376.64972
9628.63461	2262.67936
10013.33508	2241.76658
9474.57763	2301.30795
9492.38141	2295.98061
9356.51646	2317.65301
9435.48972	2304.64646
9423.72255	2308.19133
9788.88966	2247.67029
9666.58601	2261.70154
9600.67215	2270.36738
9241.88703	2369.22243
9388.15138	2317.41123
9507.20444	2292.49568
9545.52060	2279.73091
9611.48844	2266.27110
9507.25841	2287.70172
9545.57458	2274.93695
9229.47790	2378.72668
9973.51616	2243.97546
9749.07074	2249.87918
9613.35597	2265.04004
9733.79209	2252.23986
9426.46755	2304.64646
9159.58734	2413.11241
10026.74620	2240.63696
9735.65962	2251.00880
9802.30077	2246.54067
9679.99712	2260.57191
9626.76708	2263.91042
9425.59007	2306.96028
9247.00011	2349.61415
9509.12594	2286.47066
9242.81224	2366.47831
9270.27639	2334.14144
9137.42932	2445.83444
9177.55748	2397.25455
9231.34542	2377.49562
9157.71981	2414.34347
	
NSGA-II_5:	34
10446.90792	2173.10271
9286.65313	2440.98183
9298.52226	2417.48464
9300.67002	2356.42570
9756.92961	2222.21793
9954.00202	2220.02607
9434.29523	2256.46716
9517.87772	2243.66698
10300.71320	2180.87395
9316.32470	2328.54424
9703.69957	2225.55643
9312.53914	2332.92852
9328.19383	2305.04705
9610.73489	2229.98917
10393.67788	2176.44122
10073.88391	2208.14060
9982.78675	2211.34228
9603.74740	2231.22023
9427.30774	2257.69822
9348.20071	2287.40773
9414.28835	2274.10648
10186.56377	2189.53980
10251.28513	2189.53980
9287.91489	2428.62115
10075.75144	2206.90955
10098.10292	2198.54210
9387.49178	2283.26560
9749.94212	2223.44898
9407.30086	2275.33754
9975.79927	2212.57334
10133.33373	2192.87831
10445.10452	2174.88417
10105.09041	2197.31104
9433.16561	2257.69822
	
NSGA-II_6:	51
10331.97939	2234.55433
9166.41558	2538.42753
9190.42158	2450.11801
9184.96860	2520.14326
10106.43018	2248.58558
10004.16406	2249.81663
10229.71326	2235.78539
10331.97939	2234.55433
9334.84909	2351.79859
9183.34972	2520.78821
9207.35571	2432.47869
9773.33206	2284.84597
9742.98051	2296.62743
9246.59440	2388.62704
9261.09824	2373.28956
9837.74286	2282.64211
9279.25300	2359.43791
10229.71326	2235.78539
9953.02953	2254.24937
9585.12738	2324.25175
9400.06807	2347.72218
9645.96818	2322.78516
9421.52202	2340.08286
9535.29718	2327.19854
9676.31974	2311.00370
9708.21834	2305.10588
9488.19324	2328.97311
9667.71569	2322.40574
10178.57873	2240.21813
9400.06807	2347.72218
9839.04979	2278.56570
9860.50374	2270.92638
9585.12738	2324.25175
9455.60816	2332.31162
9892.83917	2267.14057
9535.29718	2327.19854
9926.92532	2259.36933
9488.19324	2328.97311
9454.10710	2336.74435
10144.49259	2247.98937
9228.04138	2406.91131
