param n=100;
param m=4;
param K = 25;
param Q = 60;
param L =40;
param HC:= 
1 239.453
2 231.682
3 268.779
4 259.268;

param o:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
1	272.0294102	40	92.19544457	218.4032967	110.4536102	206.1552813	237.6972865	50	127.2792206	102.9563014	250.1999201	171.1724277	70	225.6102835	200	213.7755833	221.3594362	272.9468813	80.62257748	130	63.2455532	147.6482306	80.62257748	194.1648784	50	31.6227766	120	89.4427191	222.0360331	220	220.9072203	208.0865205	108.1665383	53.85164807	170.2938637	64.03124237	253.179778	56.56854249	228.035085	139.2838828	50	162.788206	194.1648784	270.1851217	190.2629759	152.9705854	131.5294644	30	215.8703314	134.1640786	148.6606875	41.23105626	130	56.56854249	222.0360331	89.4427191	111.8033989	165.5294536	214.7091055	44.72135955	261.7250466	60.8276253	228.035085	10	50.99019514	183.5755975	50	50	125.2996409	72.80109889	117.0469991	260	110	130.3840481	183.8477631	76.15773106	174.642492	50	106.3014581	28.28427125	184.3908891	108.1665383	192.3538406	104.4030651	60	235.3720459	295.4657341	196.977156	269.2582404	40	156.5247584	31.6227766	120.8304597	145.6021978	130.3840481	76.15773106	220.2271555	250.5992817	284.6049894	126.4911064
2	291.5475947	76.15773106	36.05551275	200.2498439	128.0624847	191.0497317	210.9502311	50	82.46211251	82.46211251	252.9822128	167.6305461	140.3566885	210.9502311	158.113883	228.2542442	200	282.3118843	50	162.788206	130.3840481	120	10	182.4828759	36.05551275	101.9803903	50.99019514	76.15773106	232.594067	221.3594362	215.8703314	167.6305461	152.6433752	36.05551275	170.8800749	125.2996409	264.0075756	120.8304597	210.2379604	121.6552506	117.0469991	111.8033989	210.9502311	266.8332813	196.977156	145.6021978	150	41.23105626	233.2380758	110.4536102	104.4030651	110	78.10249676	114.0175425	213.7755833	158.113883	134.5362405	140	182.4828759	110.4536102	253.179778	22.36067977	246.9817807	60.8276253	120	219.317122	120.4159458	111.8033989	164.0121947	30	64.03124237	259.6150997	122.0655562	72.11102551	160	145.6021978	194.1648784	22.36067977	161.5549442	94.86832981	202.4845673	167.6305461	226.27417	36.05551275	130.3840481	250.5992817	264.7640459	226.715681	250	86.02325267	191.0497317	100	101.9803903	133.4166406	172.0465053	141.4213562	224.7220505	215.8703314	305.2867504	155.5634919
3	192.0937271	80.62257748	139.2838828	101.9803903	50	90.55385138	120.8304597	140	53.85164807	22.36067977	148.6606875	63.2455532	155.5634919	110.4536102	94.33981132	128.0624847	104.4030651	178.8854382	152.9705854	90.55385138	134.5362405	36.05551275	107.7032961	80	80	138.9244399	136.0147051	30	130.3840481	117.0469991	111.8033989	100	101.9803903	130.3840481	67.08203932	178.8854382	161.245155	170	111.8033989	22.36067977	161.245155	80	113.137085	162.788206	94.33981132	41.23105626	63.2455532	110.4536102	134.5362405	22.36067977	60	128.0624847	178.8854382	106.3014581	110.4536102	192.0937271	60	50	100	120.4159458	150.3329638	121.6552506	148.6606875	114.0175425	134.5362405	139.2838828	142.126704	113.137085	100	133.4166406	165.5294536	155.241747	40	80.62257748	67.08203932	178.0449381	100	110.4536102	126.4911064	143.1782106	106.3014581	139.2838828	143.1782106	100	148.6606875	150	178.8854382	138.9244399	152.9705854	155.241747	114.0175425	122.0655562	10	30	110	136.0147051	120.8304597	136.0147051	206.1552813	80.62257748
4	205.1828453	106.3014581	141.4213562	90.55385138	80.62257748	82.46211251	101.9803903	152.9705854	36.05551275	36.05551275	152.6433752	70.71067812	184.3908891	101.9803903	64.03124237	142.126704	90	186.0107524	160	120	164.0121947	10	110.4536102	76.15773106	94.86832981	164.0121947	130	50	141.4213562	122.0655562	111.8033989	70.71067812	133.4166406	141.4213562	78.10249676	202.4845673	170.2938637	194.1648784	100.4987562	22.36067977	186.0107524	50.99019514	130.3840481	161.5549442	106.3014581	50	90.55385138	126.4911064	150	10	31.6227766	155.5634919	177.2004515	136.0147051	107.7032961	219.317122	90.55385138	30	76.15773106	148.6606875	145.6021978	130.3840481	164.0121947	134.1640786	162.788206	164.924225	169.7056275	142.126704	130.3840481	140	164.924225	156.5247584	70.71067812	64.03124237	50	205.1828453	120.8304597	121.6552506	158.113883	166.4331698	125.2996409	170.8800749	167.6305461	94.86832981	176.9180601	162.788206	158.113883	161.5549442	140	174.642492	141.4213562	148.6606875	22.36067977	36.05551275	140.3566885	166.4331698	128.0624847	111.8033989	219.317122	110;

param cost:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
1	0	234.0939982	327.5667871	148.6606875	165.5294536	143.1782106	174.642492	313.8470965	240.4163056	214.0093456	70.71067812	134.5362405	260.1922366	136.0147051	223.6067977	64.03124237	158.113883	41.23105626	335.4101966	143.1782106	240.8318916	198.4943324	296.8164416	138.9244399	259.4224354	274.5906044	328.0243893	216.3330765	64.03124237	89.4427191	107.7032961	219.317122	171.1724277	308.7069808	127.2792206	312.5699922	41.23105626	302.654919	145.6021978	183.8477631	292.7456234	250	80.62257748	90.55385138	98.99494937	155.5634919	143.1782106	282.3118843	58.30951895	197.9898987	234.3074903	253.179778	368.9173349	223.6067977	117.0469991	300	161.5549442	186.0107524	193.1320792	243.3105012	110	304.1381265	44.72135955	275.1363298	251.7935662	100.4987562	261.7250466	233.4523506	151.3274595	317.6476035	355.1056181	80	170	268.7005769	174.9285568	290.1723626	98.48857802	290.6888371	190	286.3564213	89.4427191	200.2498439	90.55385138	292.0616373	260.7680962	42.42640687	200.2498439	80	150	310.4834939	120.4159458	254.9509757	198.4943324	169.7056275	150.3329638	230.2172887	80.62257748	203.9607805	14.14213562	145.6021978
2	234.0939982	0	108.1665383	180.2775638	70.71067812	167.6305461	201.246118	80.62257748	102.9563014	70.71067812	210.2379604	131.5294644	80.62257748	186.8154169	169.7056275	174.642492	183.8477631	233.4523506	106.3014581	94.33981132	63.2455532	114.0175425	85.44003745	155.241747	41.23105626	58.30951895	126.4911064	56.56854249	182.4828759	180	181.1077028	176.9180601	78.10249676	78.10249676	130.3840481	98.48857802	213.7755833	89.4427191	189.7366596	102.9563014	80.62257748	138.9244399	155.241747	230.2172887	150.3329638	114.0175425	92.19544457	50	177.2004515	100	122.0655562	50	150	40	182.4828759	113.137085	72.80109889	130.3840481	180.2775638	44.72135955	222.0360331	78.10249676	189.7366596	41.23105626	58.30951895	150	64.03124237	41.23105626	92.19544457	92.19544457	136.0147051	220	70	114.0175425	147.6482306	98.99494937	136.0147051	64.03124237	85.44003745	63.2455532	145.6021978	92.19544457	158.113883	100.4987562	72.11102551	196.468827	259.4224354	161.245155	230.8679276	80	122.0655562	42.42640687	86.02325267	107.7032961	98.99494937	70.71067812	180.2775638	216.3330765	246.9817807	89.4427191
3	327.5667871	108.1665383	0	231.9482701	164.0121947	223.6067977	240	50.99019514	110	117.0469991	287.923601	202.4845673	161.245155	243.3105012	182.4828759	264.1968963	230.8679276	317.8049716	28.28427125	197.9898987	155.241747	151.3274595	31.6227766	215.8703314	70.71067812	120.4159458	36.05551275	111.8033989	268.3281573	256.3201124	250	192.3538406	186.0107524	40	206.1552813	133.4166406	299.6664813	131.5294644	241.8677324	155.241747	130.3840481	133.4166406	246.9817807	300.8321791	232.594067	180.2775638	186.0107524	63.2455532	269.2582404	143.1782106	130.3840481	133.4166406	42.42640687	143.1782106	247.3863375	171.1724277	170.2938637	171.1724277	210.2379604	136.0147051	286.3564213	31.6227766	283.019434	82.46211251	143.1782106	254.5584412	141.4213562	139.2838828	198.4943324	20	28.28427125	294.1088234	158.113883	92.19544457	191.0497317	160.3121954	230.2172887	44.72135955	192.3538406	110	238.5372088	196.977156	261.7250466	50.99019514	151.3274595	286.5309756	291.5475947	262.488095	280.713377	92.19544457	226.27417	123.6931688	136.0147051	167.6305461	206.1552813	167.6305461	260	241.8677324	341.3209633	191.0497317
4	148.6606875	180.2775638	231.9482701	0	122.0655562	14.14213562	31.6227766	240.8318916	123.6931688	120.4159458	80.62257748	56.56854249	246.9817807	14.14213562	78.10249676	100	10	116.6190379	250.1999201	142.126704	224.7220505	80.62257748	200.9975124	28.28427125	181.1077028	237.6972865	218.4032967	131.5294644	90.55385138	60.8276253	41.23105626	72.11102551	169.7056275	230.2172887	64.03124237	278.5677655	107.7032961	269.2582404	10	80.62257748	260	116.6190379	101.9803903	78.10249676	72.80109889	67.08203932	113.137085	212.1320344	110	90	107.7032961	223.6067977	266.8332813	197.2308292	31.6227766	286.5309756	128.0624847	60.8276253	44.72135955	214.7091055	58.30951895	220	120.4159458	215.8703314	228.2542442	158.113883	237.0653918	205.9126028	156.2049935	230.2172887	254.9509757	78.10249676	116.6190379	148.6606875	41.23105626	272.9468813	107.7032961	210.2379604	197.9898987	243.5159132	104.4030651	212.1320344	155.241747	184.3908891	241.8677324	111.8033989	84.85281374	143.1782106	50.99019514	257.0992026	147.6482306	219.317122	100.4987562	72.80109889	164.0121947	222.0360331	70.71067812	60.8276253	161.5549442	134.5362405
5	165.5294536	70.71067812	164.0121947	122.0655562	0	108.1665383	148.6606875	148.6606875	101.9803903	63.2455532	140	67.08203932	125.2996409	125.2996409	139.2838828	104.4030651	128.0624847	162.788206	170	41.23105626	102.9563014	82.46211251	134.5362405	94.33981132	94.33981132	121.6552506	170.2938637	58.30951895	111.8033989	110.4536102	114.0175425	143.1782106	53.85164807	143.1782106	63.2455532	162.788206	143.1782106	152.9705854	130.3840481	63.2455532	143.1782106	130	85.44003745	161.245155	80	56.56854249	22.36067977	117.0469991	107.7032961	70.71067812	110	104.4030651	206.1552813	76.15773106	117.0469991	165.5294536	10	89.4427191	136.0147051	94.86832981	155.241747	138.9244399	120.8304597	111.8033989	107.7032961	94.33981132	117.0469991	85.44003745	50	152.6433752	192.0937271	150.3329638	10	126.4911064	100	152.3154621	67.08203932	125.2996409	80.62257748	130.3840481	76.15773106	94.33981132	100	136.0147051	120.8304597	126.4911064	206.1552813	98.99494937	170	150.3329638	67.08203932	101.9803903	60	58.30951895	60	100	110	170.2938637	178.8854382	31.6227766
6	143.1782106	167.6305461	223.6067977	14.14213562	108.1665383	0	44.72135955	230.2172887	117.0469991	110	78.10249676	42.42640687	233.2380758	20	80.62257748	90.55385138	22.36067977	114.0175425	240.8318916	128.0624847	210.9502311	72.80109889	192.3538406	14.14213562	170.2938637	224.7220505	211.896201	120.4159458	82.46211251	53.85164807	36.05551275	76.15773106	155.5634919	220	50	265.7066051	102.9563014	256.3201124	22.36067977	70	246.9817807	114.0175425	90.55385138	80.62257748	60.8276253	53.85164807	98.99494937	200.9975124	100.4987562	80.62257748	102.9563014	210.2379604	259.6150997	183.5755975	28.28427125	272.9468813	114.0175425	53.85164807	50.99019514	201.246118	63.2455532	210.2379604	111.8033989	203.9607805	214.7091055	145.6021978	223.6067977	192.3538406	142.126704	220.9072203	247.3863375	78.10249676	102.9563014	143.1782106	36.05551275	259.4224354	94.86832981	200	183.8477631	230.8679276	92.19544457	197.9898987	143.1782106	177.2004515	228.2542442	104.4030651	98.99494937	131.5294644	63.2455532	245.1530134	134.1640786	206.1552813	90	60.8276253	150	208.0865205	63.2455532	72.80109889	156.5247584	120.4159458
7	174.642492	201.246118	240	31.6227766	148.6606875	44.72135955	0	254.9509757	130	136.0147051	104.4030651	86.02325267	272.0294102	40	67.08203932	130.3840481	22.36067977	139.2838828	260.7680962	172.0465053	250	92.19544457	210.2379604	58.30951895	196.468827	259.4224354	222.0360331	148.6606875	120	90	70	58.30951895	198.4943324	243.3105012	94.33981132	299.6664813	133.4166406	290.6888371	30	98.48857802	281.7800561	114.0175425	133.4166406	94.33981132	104.4030651	92.19544457	142.126704	228.035085	140.3566885	104.4030651	110.4536102	246.9817807	271.6615541	222.0360331	60	310.6444913	155.5634919	72.80109889	31.6227766	238.5372088	72.11102551	231.9482701	150	234.0939982	252.3885893	189.7366596	260.7680962	230.2172887	186.0107524	240.8318916	260.7680962	98.48857802	142.126704	151.3274595	53.85164807	296.8164416	139.2838828	223.6067977	226.715681	264.0075756	136.0147051	240.8318916	186.8154169	190.2629759	266.2705391	140.3566885	58.30951895	174.642492	44.72135955	275.1363298	178.8854382	241.8677324	117.0469991	94.33981132	194.1648784	248.394847	100	30	186.8154169	164.0121947
8	313.8470965	80.62257748	50.99019514	240.8318916	148.6606875	230.2172887	254.9509757	0	130	120.4159458	284.4292531	200.9975124	114.0175425	250.1999201	206.1552813	252.9822128	241.8677324	310.4834939	31.6227766	174.9285568	111.8033989	162.788206	56.56854249	220	60	72.80109889	85.44003745	110	259.6150997	253.179778	250.7987241	215.4065923	156.2049935	14.14213562	202.2374842	82.46211251	291.2043956	80.62257748	250.7987241	160.3121954	80	161.245155	234.0939982	301.4962686	225.6102835	180.2775638	170.8800749	31.6227766	256.3201124	151.3274595	152.3154621	89.4427191	82.46211251	106.3014581	250.1999201	120.4159458	152.3154621	182.4828759	228.035085	94.33981132	290.1723626	28.28427125	269.2582404	42.42640687	98.48857802	230.2172887	94.86832981	100	172.0465053	31.6227766	70.71067812	292.7456234	145.6021978	122.0655562	202.2374842	110	215.4065923	31.6227766	156.2049935	60.8276253	224.7220505	158.113883	238.5372088	84.85281374	104.4030651	275.1363298	310.4834939	241.8677324	291.5475947	41.23105626	202.4845673	80.62257748	140.3566885	170	178.0449381	125.2996409	254.9509757	262.488095	326.9556545	170
9	240.4163056	102.9563014	110	123.6931688	101.9803903	117.0469991	130	130	0	40	188.6796226	106.3014581	183.5755975	136.0147051	76.15773106	176.9180601	121.6552506	222.0360331	131.5294644	143.1782106	165.5294536	44.72135955	80.62257748	111.8033989	78.10249676	156.2049935	94.86832981	50.99019514	176.9180601	158.113883	147.6482306	85.44003745	150	117.0469991	113.137085	191.0497317	206.1552813	183.8477631	133.4166406	56.56854249	176.9180601	36.05551275	164.0121947	196.977156	141.4213562	84.85281374	117.0469991	108.1665383	184.3908891	42.42640687	22.36067977	152.6433752	143.1782106	139.2838828	143.1782106	214.0093456	111.8033989	63.2455532	100.4987562	147.6482306	180.2775638	104.4030651	198.4943324	120.4159458	161.245155	193.1320792	166.4331698	143.1782106	151.3274595	111.8033989	131.5294644	192.3538406	92.19544457	28.28427125	82.46211251	200	152.6433752	98.48857802	171.1724277	155.5634919	158.113883	182.4828759	196.977156	60.8276253	174.9285568	197.9898987	182.4828759	192.3538406	171.1724277	158.113883	167.6305461	144.222051	44.72135955	70.71067812	161.245155	170.8800749	164.0121947	133.4166406	254.5584412	133.4166406
