param n=100;
param m=4;
param K = 18;
param Q = 60;
param L =40;
param HC:= 
1 239.453
2 231.682
3 268.779
4 259.268;

param o:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
1	156.2049935	161.245155	122.0655562	78.10249676	113.137085	70.71067812	85.44003745	178.8854382	98.48857802	136.0147051	126.4911064	58.30951895	40	76.15773106	158.113883	89.4427191	152.9705854	130.3840481	127.2792206	169.7056275	107.7032961	50	92.19544457	106.3014581	98.99494937	86.02325267	53.85164807	92.19544457	206.1552813	85.44003745	114.0175425	138.9244399	92.19544457	161.5549442	193.1320792	89.4427191	102.9563014	80.62257748	44.72135955	100.4987562	70.71067812	114.0175425	107.7032961	122.0655562	76.15773106	42.42640687	114.0175425	44.72135955	30	233.2380758	80.62257748	44.72135955	94.33981132	92.19544457	107.7032961	41.23105626	80.62257748	174.642492	89.4427191	205.9126028	76.15773106	155.241747	139.2838828	150	113.137085	85.44003745	64.03124237	106.3014581	138.9244399	41.23105626	80	117.0469991	92.19544457	120.4159458	80.62257748	106.3014581	162.788206	170	107.7032961	174.9285568	92.19544457	89.4427191	151.3274595	203.9607805	122.0655562	174.642492	98.99494937	138.9244399	86.02325267	80.62257748	165.5294536	72.80109889	117.0469991	174.9285568	84.85281374	130.3840481	136.0147051	92.19544457	193.1320792	151.3274595
2	156.2049935	170.8800749	94.33981132	80.62257748	141.4213562	94.86832981	100.4987562	189.7366596	125.2996409	164.0121947	116.6190379	86.02325267	63.2455532	70.71067812	165.5294536	84.85281374	170.2938637	139.2838828	98.99494937	141.4213562	100	78.10249676	110	78.10249676	70.71067812	86.02325267	50	64.03124237	232.594067	100.4987562	86.02325267	111.8033989	80.62257748	187.8829423	219.317122	116.6190379	76.15773106	108.1665383	60	120.4159458	94.86832981	120.8304597	82.46211251	120.4159458	70.71067812	70.71067812	90.55385138	72.11102551	22.36067977	241.6609195	53.85164807	72.11102551	92.19544457	94.33981132	100	60.8276253	78.10249676	186.8154169	84.85281374	215.4065923	50.99019514	180.2775638	152.9705854	148.6606875	84.85281374	78.10249676	92.19544457	111.8033989	166.4331698	67.08203932	101.9803903	108.1665383	64.03124237	100.4987562	92.19544457	78.10249676	186.8154169	197.2308292	134.1640786	183.8477631	110	116.6190379	174.642492	228.035085	130	199.2485885	102.9563014	148.6606875	58.30951895	78.10249676	177.2004515	64.03124237	143.1782106	202.4845673	113.137085	102.9563014	134.5362405	80.62257748	206.1552813	170
3	94.33981132	120.4159458	120	144.222051	161.5549442	94.33981132	72.11102551	140.3566885	130.3840481	174.9285568	178.0449381	120.4159458	111.8033989	134.5362405	111.8033989	148.6606875	136.0147051	90	111.8033989	148.6606875	162.788206	110.4536102	164.924225	100	90	30	20	80	226.715681	158.113883	92.19544457	140	142.126704	183.8477631	212.6029163	151.3274595	111.8033989	141.4213562	117.0469991	100	140.3566885	70	123.6931688	58.30951895	10	100.4987562	136.0147051	92.19544457	86.02325267	186.8154169	94.86832981	110	31.6227766	40	36.05551275	63.2455532	20	140	22.36067977	162.788206	98.48857802	170.2938637	111.8033989	86.02325267	100.4987562	14.14213562	121.6552506	60	172.0465053	82.46211251	92.19544457	44.72135955	90.55385138	152.3154621	58.30951895	90.55385138	172.0465053	198.4943324	136.0147051	131.5294644	86.02325267	125.2996409	158.113883	210.9502311	80	186.0107524	166.4331698	100	92.19544457	142.126704	130	127.2792206	142.126704	206.1552813	136.0147051	98.48857802	72.11102551	20	160	139.2838828
4	214.0093456	228.4731932	85.44003745	41.23105626	165.5294536	140	155.241747	246.9817807	162.788206	193.1320792	58.30951895	107.7032961	76.15773106	20	223.6067977	31.6227766	223.6067977	196.977156	101.9803903	139.2838828	42.42640687	104.4030651	94.33981132	80.62257748	80	144.222051	108.1665383	80.62257748	269.2582404	80.62257748	100	94.33981132	22.36067977	225.6102835	257.0992026	130.3840481	63.2455532	125.2996409	58.30951895	171.1724277	100	178.8854382	58.30951895	178.0449381	128.0624847	101.9803903	56.56854249	110.4536102	41.23105626	299.6664813	50	94.86832981	150	152.6433752	155.5634919	111.8033989	136.0147051	243.5159132	142.126704	273.1300057	40	222.0360331	208.8061302	206.1552813	90.55385138	134.5362405	117.0469991	170	199.2485885	110	150.3329638	162.788206	70	53.85164807	148.6606875	90	230.8679276	230.8679276	172.626765	241.6609195	162.788206	152.9705854	220.2271555	271.6615541	187.8829423	241.8677324	60	206.1552813	60	30	234.0939982	10	182.4828759	234.0939982	139.2838828	120	192.0937271	134.5362405	262.488095	222.0360331;

param cost:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
1	0	56.56854249	206.1552813	233.4523506	200.9975124	133.4166406	92.19544457	72.11102551	160.3121954	200.2498439	272.0294102	183.8477631	188.6796226	226.715681	42.42640687	240.8318916	102.9563014	50.99019514	192.3538406	220	256.1249695	174.642492	241.8677324	186.8154169	177.2004515	70.71067812	106.3014581	167.6305461	219.317122	238.5372088	172.626765	225.6102835	236.0084744	186.8154169	206.1552813	208.8061302	202.4845673	199.2485885	200	110	210.2379604	50.99019514	215.4065923	36.05551275	86.02325267	165.5294536	228.4731932	152.3154621	176.9180601	100	187.8829423	178.8854382	64.03124237	64.03124237	63.2455532	125.2996409	78.10249676	78.10249676	72.11102551	82.46211251	192.3538406	167.6305461	76.15773106	10	184.3908891	80.62257748	180.2775638	53.85164807	191.0497317	143.1782106	121.6552506	60.8276253	180.2775638	245.9674775	85.44003745	174.642492	161.5549442	206.1552813	160	58.30951895	100.4987562	161.245155	148.6606875	188.6796226	50	174.642492	254.9509757	53.85164807	183.8477631	233.4523506	70.71067812	220.2271555	160.3121954	215.8703314	184.3908891	170.2938637	22.36067977	85.44003745	94.33981132	111.8033989
2	56.56854249	0	240.208243	238.5372088	170.8800749	114.0175425	78.10249676	20	130	162.788206	286.3564213	170.2938637	184.3908891	237.0653918	14.14213562	250.5992817	50.99019514	31.6227766	230.2172887	263.0589288	268.3281573	162.788206	233.4523506	220.2271555	210.2379604	90.55385138	123.6931688	200.2498439	167.6305461	233.4523506	210.2379604	260.1922366	250.7987241	140.3566885	155.241747	188.6796226	231.9482701	180.2775638	200	80.62257748	198.4943324	50.99019514	243.3105012	72.80109889	110.4536102	155.5634919	254.9509757	141.4213562	187.8829423	72.11102551	213.7755833	169.7056275	90	80.62257748	101.9803903	122.0655562	100.4987562	22.36067977	100	44.72135955	215.8703314	120.4159458	31.6227766	64.03124237	220	110	164.0121947	60.8276253	151.3274595	134.5362405	100	104.4030651	210.9502311	269.2582404	80.62257748	210	111.8033989	160.3121954	126.4911064	14.14213562	78.10249676	134.1640786	100.4987562	134.1640786	41.23105626	123.6931688	258.069758	22.36067977	212.1320344	241.8677324	14.14213562	232.594067	123.6931688	170.2938637	161.245155	212.1320344	67.08203932	120.4159458	41.23105626	60.8276253
3	206.1552813	240.208243	0	126.4911064	234.3074903	187.8829423	184.3908891	260.1922366	219.544984	258.069758	111.8033989	176.9180601	148.6606875	104.4030651	230.8679276	111.8033989	253.179778	210	22.36067977	53.85164807	110	170.2938637	178.8854382	20	30	150	121.6552506	40	326.4965543	165.5294536	36.05551275	20	90.55385138	281.7800561	313.0495168	205.1828453	22.36067977	197.9898987	136.0147051	208.8061302	178.0449381	190	30	172.626765	130	164.0121947	41.23105626	166.4331698	98.99494937	304.1381265	42.42640687	162.788206	150.3329638	160	143.1782106	152.3154621	140	260	140.3566885	281.6025568	50	273.1300057	230.8679276	196.468827	22.36067977	130.3840481	184.3908891	180	260.7680962	161.245155	193.1320792	145.6021978	31.6227766	63.2455532	172.626765	31.6227766	278.5677655	291.5475947	228.2542442	250.7987241	196.468827	210.9502311	265.7066051	319.5309062	200	291.5475947	143.1782106	220	36.05551275	114.0175425	250	94.86832981	237.0653918	296.8164416	206.1552813	50	184.3908891	121.6552506	280	254.9509757
