param n=100;
param m=6;
param K = 18;
param Q = 60;
param L =38;
param HC:=
1 204.17
2 197.202
3 256.53
4 244.5
5 256.902
6 236.728;

param o:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
1	183.8477631	174.642492	14.14213562	72.11102551	243.3105012	114.0175425	169.7056275	186.8154169	212.1320344	162.788206	237.6972865	170	200	130.3840481	31.6227766	180	92.19544457	270	255.5386468	151.3274595	44.72135955	140.3566885	194.1648784	178.8854382	111.8033989	67.08203932	219.544984	36.05551275	191.0497317	277.3084925	98.48857802	283.019434	256.3201124	151.3274595	31.6227766	212.1320344	161.245155	110.4536102	148.6606875	104.4030651	63.2455532	212.6029163	94.33981132	151.3274595	183.8477631	136.0147051	248.394847	282.8427125	140.3566885	190	136.0147051	282.8427125	100	98.48857802	196.468827	186.0107524	53.85164807	142.126704	160	120.4159458	100.4987562	264.0075756	130	90	162.788206	260	142.126704	240.8318916	31.6227766	162.788206	36.05551275	178.0449381	203.9607805	130	260.7680962	121.6552506	240.208243	136.0147051	174.642492	80.62257748	294.2787794	133.4166406	172.0465053	150	131.5294644	117.0469991	128.0624847	273.1300057	28.28427125	268.3281573	90	275.1363298	210	250.1999201	304.1381265	250	220	92.19544457	220.9072203	269.2582404
2	161.5549442	192.3538406	85.44003745	136.0147051	261.7250466	110	148.6606875	200.9975124	233.4523506	145.6021978	240.8318916	202.4845673	230.8679276	98.48857802	78.10249676	211.896201	44.72135955	298.3286778	247.3863375	89.4427191	50	170.8800749	184.3908891	180.2775638	139.2838828	14.14213562	213.7755833	56.56854249	165.5294536	274.5906044	155.5634919	272.0294102	260.7680962	192.3538406	100.4987562	250.7987241	98.48857802	41.23105626	98.99494937	126.4911064	41.23105626	193.1320792	156.2049935	177.2004515	190	107.7032961	228.4731932	301.4962686	178.8854382	221.3594362	84.85281374	319.5309062	138.9244399	114.0175425	210.9502311	174.642492	126.4911064	117.0469991	193.1320792	161.245155	42.42640687	263.0589288	165.5294536	130.3840481	90.55385138	261.7250466	131.5294644	275.1363298	41.23105626	184.3908891	107.7032961	164.924225	245.9674775	63.2455532	284.4292531	64.03124237	272.0294102	186.0107524	219.544984	14.14213562	310.6444913	180.2775638	162.788206	183.8477631	174.9285568	72.11102551	120.4159458	272.9468813	98.48857802	264.7640459	28.28427125	280.713377	240.4163056	281.6025568	298.3286778	234.0939982	250	90.55385138	245.1530134	271.6615541
3	140	64.03124237	120	76.15773106	120.8304597	89.4427191	130.3840481	78.10249676	89.4427191	120.4159458	134.5362405	41.23105626	70.71067812	134.1640786	101.9803903	50.99019514	148.6606875	140.3566885	166.4331698	194.1648784	120.8304597	22.36067977	123.6931688	94.86832981	36.05551275	174.642492	134.1640786	117.0469991	150	176.9180601	50	194.1648784	148.6606875	22.36067977	141.4213562	82.46211251	202.4845673	184.3908891	170	50	130.3840481	152.9705854	64.03124237	36.05551275	89.4427191	130	180.2775638	158.113883	10	60.8276253	166.4331698	152.9705854	31.6227766	64.03124237	84.85281374	121.6552506	117.0469991	126.4911064	31.6227766	10	162.788206	162.788206	10	41.23105626	233.4523506	155.5634919	101.9803903	110.4536102	145.6021978	50	111.8033989	120.4159458	76.15773106	191.0497317	133.4166406	170.2938637	110	30	50	166.4331698	170.8800749	20	110.4536102	22.36067977	10	150	94.86832981	169.7056275	110.4536102	170.2938637	164.0121947	164.0121947	80.62257748	120	205.1828453	174.642492	90.55385138	92.19544457	94.86832981	162.788206
4	72.80109889	76.15773106	224.7220505	205.1828453	80.62257748	117.0469991	80.62257748	63.2455532	80.62257748	80	28.28427125	114.0175425	110	130	197.2308292	111.8033989	181.1077028	130.3840481	28.28427125	184.3908891	193.1320792	116.6190379	40	50	127.2792206	235.3720459	10	196.977156	76.15773106	50.99019514	186.0107524	56.56854249	44.72135955	139.2838828	252.3885893	140.3566885	186.8154169	210	152.9705854	128.0624847	186.8154169	50	200	102.9563014	50	120	50.99019514	106.3014581	134.1640786	110.4536102	161.245155	170	148.6606875	130.3840481	60.8276253	50	240.8318916	110	117.0469991	144.222051	190.2629759	40	130.3840481	155.5634919	235.3720459	41.23105626	92.19544457	136.0147051	224.7220505	89.4427191	228.035085	60	150	200.9975124	108.1665383	180.2775638	126.4911064	165.5294536	152.9705854	212.1320344	108.1665383	156.5247584	60.8276253	120.8304597	147.6482306	160	104.4030651	50	222.0360331	41.23105626	200.9975124	63.2455532	110.4536102	130	76.15773106	40	111.8033989	139.2838828	92.19544457	50.99019514
5	114.0175425	30	196.468827	161.245155	40	114.0175425	113.137085	22.36067977	14.14213562	106.3014581	53.85164807	50	40	147.6482306	172.626765	44.72135955	186.8154169	80.62257748	92.19544457	210.9502311	180	67.08203932	80.62257748	56.56854249	92.19544457	230.8679276	70.71067812	180.2775638	122.0655562	94.33981132	136.0147051	117.0469991	64.03124237	78.10249676	221.3594362	70.71067812	216.3330765	221.3594362	180.2775638	100.4987562	181.1077028	107.7032961	150	53.85164807	42.42640687	138.9244399	120.4159458	80	78.10249676	41.23105626	183.5755975	113.137085	107.7032961	110	14.14213562	86.02325267	201.246118	130.3840481	56.56854249	94.33981132	199.2485885	80.62257748	80.62257748	117.0469991	259.4224354	72.11102551	102.9563014	72.11102551	210.2379604	41.23105626	193.1320792	92.19544457	80	219.317122	63.2455532	196.977156	64.03124237	106.3014581	85.44003745	213.7755833	90.55385138	98.99494937	84.85281374	64.03124237	92.19544457	174.642492	107.7032961	86.02325267	189.7366596	89.4427191	206.1552813	78.10249676	41.23105626	70.71067812	122.0655562	110	44.72135955	131.5294644	28.28427125	78.10249676
6	31.6227766	122.0655562	174.9285568	184.3908891	172.0465053	70.71067812	28.28427125	120.4159458	155.5634919	36.05551275	130	156.5247584	172.0465053	42.42640687	147.6482306	161.245155	94.33981132	220.2271555	120.4159458	80.62257748	128.0624847	136.0147051	67.08203932	84.85281374	120.4159458	152.6433752	94.86832981	136.0147051	30	151.3274595	180.2775638	140.3566885	148.6606875	167.6305461	202.4845673	202.4845673	82.46211251	114.0175425	50	110	113.137085	60	191.0497317	130	98.99494937	36.05551275	92.19544457	205.9126028	155.241747	166.4331698	60.8276253	254.5584412	140	100.4987562	127.2792206	58.30951895	206.1552813	31.6227766	152.3154621	151.3274595	98.48857802	143.1782106	143.1782106	140.3566885	131.5294644	145.6021978	50.99019514	212.6029163	155.5634919	125.2996409	187.8829423	50	205.9126028	100.4987562	200	82.46211251	205.1828453	182.4828759	193.1320792	125.2996409	210.2379604	172.626765	56.56854249	148.6606875	162.788206	67.08203932	60	152.9705854	178.8854382	141.4213562	111.8033989	167.6305461	178.0449381	212.1320344	170	100.4987562	184.3908891	85.44003745	169.7056275	155.241747;

param cost:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
1	0	98.48857802	184.3908891	183.8477631	142.126704	72.11102551	14.14213562	94.33981132	128.0624847	22.36067977	98.48857802	136.0147051	147.6482306	63.2455532	156.2049935	139.2838828	117.0469991	191.0497317	90	111.8033989	142.126704	120.4159458	36.05551275	58.30951895	111.8033989	174.642492	63.2455532	148.6606875	10	120.4159458	174.642492	111.8033989	117.0469991	151.3274595	212.6029163	178.8854382	114.0175425	141.4213562	80.62257748	104.4030651	130.3840481	31.6227766	186.8154169	111.8033989	72.11102551	53.85164807	67.08203932	174.9285568	140.3566885	143.1782106	90	226.715681	133.4166406	98.48857802	100	28.28427125	210.9502311	44.72135955	133.4166406	140.3566885	123.6931688	111.8033989	130	136.0147051	162.788206	114.0175425	44.72135955	186.0107524	172.0465053	104.4030651	194.1648784	22.36067977	183.8477631	130	170.2938637	110.4536102	178.0449381	170	174.642492	148.6606875	178.8854382	160	31.6227766	131.5294644	150	92.19544457	58.30951895	121.6552506	186.0107524	110.4536102	136.0147051	136.0147051	152.6433752	184.3908891	140.3566885	72.80109889	158.113883	92.19544457	142.126704	123.6931688
